Kateqoriya,Sual,Cavab
Hüquqpozmalar,Azərbaycan Respublikasının gömrük ərazisinə müvəqqəti gətirilmiş nəqliyyat vasitələri ilə qanunsuz əməliyyatların aparılması halında inzibati cərimə miqdarı nə qədərdir?,İnzibati Xətalar Məcəlləsinin 500-cü maddəsinə əsasən Azərbaycan Respublikasının gömrük ərazisinə müvəqqəti gətirilmiş nəqliyyat vasitələrinin gömrük ərazisinə müvəqqəti gətirilməsinin məqsədlərinə uyğun olmayan ölkədaxili sərnişin və ya yük daşımalarında digər şəxslər tərəfindən istismar olunmasına görə - yüz əlli manat məbləğində cərimə edilir.
Hüquqpozmalar,Malların Azərbaycan Respublikasının gömrük sərhədindən istehsal və ya kommersiya məqsədləri üçün nəzərdə tutulmayan mallar kimi keçirilməsi halında inzibati cərimə miqdarı nə qədərdir?,"İnzibati Xətalar Məcəlləsinin 503-cü maddəsinə əsasən istehsal və ya digər kommersiya fəaliyyəti üçün nəzərdə tutulan malların Azərbaycan Respublikasının gömrük sərhədindən istehsal və ya kommersiya məqsədləri üçün nəzərdə tutulmayan mallar kimi keçirilməsinə görə - inzibati xətanın bilavasitə obyekti olan mallar və nəqliyyat vasitələri müsadirə edilir, yaxud onların dəyərinin otuz faizindən yüz faizinədək məbləğdə cərimə edilir."
Hüquqpozmalar,Az miqdarda xarici valyuta vəsaitlərini xaricdən qaytarmama halında inzibati cərimənin miqdarı nə qədərdir?,"Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 483-cü maddəsinə müvafiq olaraq xarici iqtisadi fəaliyyətin həyata keçirilməsi nəticəsində əldə edilmiş və Azərbaycan Respublikasının müvəkkil olunmuş banklarının hesablarına məcburi qaydada köçürülməli olan az miqdarda xarici valyuta vəsaitlərinin xaricdən qaytarılmamasına görə inzibati xətanın bilavasitə obyekti olan xarici valyutanın dəyərinin otuz faizindən əlli faizinədək məbləğdə cərimə edilir. Qeyd: Bu Məcəllənin 483-cü maddəsində “az miqdarda” dedikdə, iyirmi min manatadək olan məbləğ başa düşülür."
Hüquqpozmalar,Malların və nəqliyyat vasitələrinin Azərbaycan Respublikasının gömrük sərhədindən sənədlərdən və ya eyniləşdirmə vasitələrindən aldatma yolu ilə istifadə etməklə keçirilməsi halında inzibati cərimə miqdarı nə qədərdir?,"İnzibati Xətalar Məcəlləsinin 481-ci maddəsinə əsasən malların və nəqliyyat vasitələrinin sənədlərdən və ya eyniləşdirmə vasitələrindən aldatma yolu ilə istifadə etməklə gömrük sərhədindən keçirilməsinə, yəni keçirilmə zamanı müvafiq icra hakimiyyəti orqanına gömrük məqsədləri üçün doğru olmayan məlumatları əks etdirən sənədlər, etibarsız sənədlər, yaxud digər mallara və nəqliyyat vasitələrinə aid olan sənədlər və ya eyniləşdirmə vasitələri təqdim edilməsinə, yaxud saxta eyniləşdirmə vasitələrindən istifadə edilməsinə görə, bu az miqdarda olduqda - inzibati xətanın bilavasitə obyekti olan mallar və nəqliyyat vasitələri müsadirə edilir, yaxud həmin malların və nəqliyyat vasitələrinin dəyərinin qırx faizindən altmış faizinədək məbləğdə cərimə edilir."
Hüquqpozmalar,"Gömrük nəzarəti altında olan, o cümlədən şərti buraxılmış mallar və ya nəqliyyat vasitələri ilə qanunsuz əməliyyatlar aparılması halında inzibati cərimə miqdarı nə qədərdir?","Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 491-ci maddəsinə müvafiq olaraq, bu Məcəllənin 491.2-ci və 491.3-cü maddələrində nəzərdə tutulan hallar istisna olmaqla, gömrük nəzarəti altında olan mallar və ya nəqliyyat vasitələri ilə qanunvericiliklə müəyyən edilmiş şərtlər və məhdudiyyətlər pozulmaqla qanunsuz əməliyyatlar aparılması, o cümlədən həmin şərtlər və məhdudiyyətlər pozulmaqla onlardan istifadə edilməsi, vəziyyətinin dəyişdirilməsi və ya onlar üzərində sərəncam verilməsinə görə - inzibati xətanın bilavasitə obyekti olan malların və nəqliyyat vasitələrinin dəyərinin otuz faizindən yüz faizinədək məbləğdə cərimə edilir. Barəsində gömrük ödənişləri üzrə güzəştlər verilərək şərti buraxılmış mallardan və nəqliyyat vasitələrindən müvafiq icra hakimiyyəti orqanının icazəsi olmadan həmin güzəştlərin verilməsi üçün nəzərdə tutulmayan digər məqsədlərlə istifadə edilməsinə və ya onların üzərində sərəncam verilməsinə görə - gömrük güzəştlərinin verilməsi ilə əlaqədar ödənilməmiş gömrük ödənişlərinin məbləğinin yüz faizindən yüz əlli faizinədək məbləğdə cərimə edilir. Müvafiq icra hakimiyyəti orqanının icazəsi olmadan gömrük nəzarəti altında olan malların yerlərinin dəyişdirilməsinə, daşınmasına, yüklənməsinə, boşaldılmasına, bir yerdən başqa yerə yüklənməsinə, qablaşdırılmasına, qablaşdırma zədələrinin düzəldilməsinə, yenidən qablaşdırılmasına və ya daşınma üçün qəbul edilməsinə, həmin mallardan prob və nümunələr götürülməsinə, göstərilən malların və nəqliyyat vasitələrinin saxlandığı binaların və yerlərin açılmasına görə - fiziki şəxslər əlli manatdan yüz manatadək məbləğdə, vəzifəli şəxslər iki yüz manatdan üç yüz manatadək məbləğdə, hüquqi şəxslər dörd yüz manatdan altı yüz manatadək məbləğdə cərimə edilir."
Hüquqpozmalar,Malların və nəqliyyat vasitələrinin Azərbaycan Respublikasının gömrük sərhədindən gömrük nəzarətindən gizlədilməklə keçirilməsi halında inzibati cərimə miqdarı nə qədərdir?,"Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 480-ci maddəsinə müvafiq olaraq malların və nəqliyyat vasitələrinin Azərbaycan Respublikasının gömrük sərhədindən gömrük nəzarətindən gizlədilməklə keçirilməsinə, yəni gizli saxlanc yerlərindən və ya malların aşkar edilməsini çətinləşdirən digər üsullardan istifadə edilməklə, yaxud bir qəbildən olan malların digər şəklə salınmaqla keçirilməsinə görə, bu az miqdarda olduqda – inzibati xətanın bilavasitə obyekti olan mallar və nəqliyyat vasitələri müsadirə edilir, yaxud həmin malların və nəqliyyat vasitələrinin dəyərinin qırx faizindən altmış faizinədək məbləğdə cərimə edilir. Qeyd: Az miqdar dedikdə əlli min manatadək olan məbləğ başa düşülür."
Hüquqpozmalar,"Gömrük nəzarəti altında olan malların, nəqliyyat vasitələrinin müvafiq icra hakimiyyəti orqanına müəyyən edilmiş müddətlər pozulmaqla çatdırılması halında inzibati cərimənin miqdarı?","Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 487-ci maddəsinə müvafiq olaraq, gömrük nəzarəti altında olan malların, nəqliyyat vasitələrinin müvafiq icra hakimiyyəti orqanına müəyyən edilmiş müddətlər pozulmaqla çatdırılmasına görə, yəni: on beş günədək müddətə gecikdirilərək çatdırılmasına görə - fiziki şəxslər əlli manat məbləğində, vəzifəli şəxslər yüz əlli manat məbləğində, hüquqi şəxslər üç yüz manat məbləğində cərimə edilir; on beş gündən bir ayadək müddətə gecikdirilərək çatdırılmasına görə - fiziki şəxslər yüz manat məbləğində, vəzifəli şəxslər iki yüz əlli manat məbləğində, hüquqi şəxslər beş yüz manat məbləğində cərimə edilir; bir aydan iki ayadək müddətə gecikdirilərək çatdırılmasına görə - fiziki şəxslər iki yüz manat məbləğdə, vəzifəli şəxslər üç yüz əlli manat məbləğdə, hüquqi şəxslər altı yüz manat məbləğdə cərimə edilir; iki aydan altı ayadək gecikdirilərək çatdırılmasına görə - fiziki şəxslər üç yüz manatdan beş yüz manatadək məbləğdə, vəzifəli şəxslər altı yüz manatdan yeddi yüz əlli manatadək məbləğdə, hüquqi şəxslər səkkiz yüz manatdan min manatadək məbləğdə cərimə edilir; altı aydan artıq müddətə gecikdirilərək çatdırılmasına görə - fiziki şəxslər yeddi yüz manatdan doqquz yüz manatadək məbləğdə, vəzifəli şəxslər min manatdan min beş yüz manatadək məbləğdə, hüquqi şəxslər iki min manatdan üç min manatadək məbləğdə cərimə edilir."
Hüquqpozmalar,Gömrük təminatının pozulması halında inzibati cərimə miqdarı nə qədərdir?,"Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 492-ci maddəsinə müvafiq olaraq gömrük təminatının, yəni mallara və ya nəqliyyat vasitələrinə müvafiq icra hakimiyyəti orqanının tətbiq etdiyi plomb, möhür və digər eyniləşdirmə vasitələrinin həmin orqanın icazəsi olmadan dəyişdirilməsinə, qəsdən məhv edilməsinə, qırılmasına, zədələnməsinə və ya itirilməsinə görə - fiziki şəxslər dörd yüz manat məbləğində, vəzifəli şəxslər altı yüz manat məbləğində, hüquqi şəxslər min manat məbləğində cərimə edilir Gömrük təminatı altında olan yük yerlərinin konstruktiv bütövlüyünün qəsdən pozulmasına görə - fiziki şəxslər dörd yüz manat məbləğində, vəzifəli şəxslər altı yüz manat məbləğində, hüquqi şəxslər min manat məbləğində cərimə edilir."
Hüquqpozmalar,Aparılması və ya qaytarılması məcburi olan əvvəllər gətirilmiş və ya aparılmış mallar və nəqliyyat vasitələrinin Azərbaycan Respublikasının gömrük ərazisindən kənara aparılmamasına və ya bu əraziyə qaytarılmamasına görə hansı miqdarda cərimə müəyyənləşmişdir?,"Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 499.2-ci bəndinə müvafiq olaraq aparılması və ya qaytarılması məcburi olan əvvəllər gətirilmiş və ya aparılmış mallar və nəqliyyat vasitələrinin Azərbaycan Respublikasının gömrük ərazisindən kənara aparılmamasına və ya bu əraziyə qaytarılmamasına görə- inzibati xətanın bilavasitə obyekti olan mallar və ya nəqliyyat vasitələri müsadirə edilir, yaxud vətəndaşlar həmin malların və ya nəqliyyat vasitələrinin dəyərinin yetmiş faizindən yüz faizinədək məbləğdə cərimə edilir, əcnəbilər və vətəndaşlığı olmayan şəxslər həmin malların və ya nəqliyyat vasitələrinin dəyərinin yetmiş faizindən yüz faizinədək məbləğdə cərimə edilir və ya Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarılır."
Hüquqpozmalar,"Azərbaycan Respublikasının gömrük ərazisindən kənara aparılması və ya bu əraziyə qaytarılması məcburi olan, əvvəllər müvəqqəti gətirilmiş və ya aparılmış mallar və ya nəqliyyat vasitələrinin müəyyən olunmuş müddətlər pozulmaqla Azərbaycan Respublikasının gömrük ərazisindən kənara aparılmasına və ya bu əraziyə qaytarılmasına görə hansı miqdarda cərimə müəyyənləşmişdir?","Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 499.1-ci bəndinə müvafiq olaraq Azərbaycan Respublikasının gömrük ərazisindən kənara aparılması və ya bu əraziyə qaytarılması məcburi olan, əvvəllər müvəqqəti gətirilmiş və ya aparılmış mallar və ya nəqliyyat vasitələrinin müəyyən olunmuş müddətlər pozulmaqla Azərbaycan Respublikasının gömrük ərazisindən kənara aparılmasına və ya bu əraziyə qaytarılmasına görə, yəni: on beş günədək müddətə gecikdirilməklə Azərbaycan Respublikasının gömrük ərazisindən kənara aparılmasına və ya qaytarılmasına görə - fiziki şəxslər yüz əlli manat məbləğində, vəzifəli şəxslər üç yüz manat məbləğində, hüquqi şəxslər altı yüz manat məbləğində cərimə edilir; on beş gündən bir ayadək müddətə gecikdirilməklə Azərbaycan Respublikasının gömrük ərazisindən kənara aparılmasına və ya bu əraziyə qaytarılmasına görə - fiziki şəxslər üç yüz manat məbləğində, vəzifəli şəxslər altı yüz manat məbləğində, hüquqi şəxslər min iki yüz manat məbləğində cərimə edilir; bir aydan üç ayadək müddətə gecikdirilməklə Azərbaycan Respublikasının gömrük ərazisindən kənara aparılmasına və ya bu əraziyə qaytarılmasına görə - fiziki şəxslər beş yüz manatdan yeddi yüz əlli manatadək məbləğdə, vəzifəli şəxslər səkkiz yüz manatdan min iki yüz manatadək məbləğdə, hüquqi şəxslər iki min manatdan üç min manatadək məbləğdə cərimə edilir; üç aydan bir ilədək müddətə gecikdirilməklə Azərbaycan Respublikasının gömrük ərazisindən kənara aparılmasına və ya bu əraziyə qaytarılmasına görə - inzibati xətanın bilavasitə obyekti olan mallar və (və ya) nəqliyyat vasitələrinin dəyərinin iyirmi faizindən əlli faizinədək məbləğdə cərimə edilir; bir ildən artıq müddətə gecikdirilməklə Azərbaycan Respublikasının gömrük ərazisindən kənara aparılmasına və ya bu əraziyə qaytarılmasına görə - inzibati xətanın bilavasitə obyekti olan mallar və (və ya) nəqliyyat vasitələrinin dəyərinin əlli faizindən yetmiş faizinədək məbləğdə cərimə edilir."
Hüquqpozmalar,Aksiz markası ilə markalanmalı olan malların belə marka olmadan və məcburi nişanlama ilə nişanlanmalı olan malların nişanlanmadan idxal edilməsi halında inzibati cərimə miqdarı nə qədərdir?,"Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 508-ci maddəsinə müvafiq olaraq aksiz markası ilə markalanmalı olan malların belə marka olmadan və ya məcburi nişanlama ilə nişanlanmalı olan malların nişanlanmadan az miqdarda idxal edilməsinə görə- aksiz markası və ya məcburi nişanı olmayan mallar müsadirə edilməklə fiziki şəxslər səksən manatdan yüz iyirmi manatadək məbləğdə, vəzifəli şəxslər üç yüz manatdan beş yüz manatadək məbləğdə, hüquqi şəxslər min manatdan min beş yüz manatadək məbləğdə cərimə edilir. Qeyd: Bu maddədə “az miqdarda” dedikdə, beş yüz manatadək olan məbləğ başa düşülür."
Hüquqpozmalar,Malların və nəqliyyat vasitələrinin bəyan edilməməsi və ya düzgün bəyan edilməməsinə görə qanunvericilikdə hansı inzibati tənbeh növlərinin tətbiqi nəzərdə tutulmuşdur?,"Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 482-ci maddəsinə müvafiq olaraq aşağıdakı inzibati tənbeh növləri nəzərdə tutulmuşdur- Azərbaycan Respublikasının gömrük sərhədindən keçirilən malların və ya nəqliyyat vasitələrinin bəyan edilməməsinə görə, bu az miqdarda olduqda inzibati xətanın bilavasitə obyekti olan mallar və nəqliyyat vasitələri müsadirə edilir, yaxud həmin malların və nəqliyyat vasitələrinin dəyərinin altmış faizindən yüz faizinədək məbləğdə cərimə edilir. Azərbaycan Respublikasının gömrük sərhədindən keçirilən malların və nəqliyyat vasitələrinin düzgün bəyan edilməməsinə görə, yəni gömrük bəyannaməsində, təkrar ixrac bildirişində, qısa idxal (ixrac) bəyannaməsində, sadələşdirilmiş bəyannamədə və gömrük orqanlarının Azərbaycan Respublikasının Gömrük Məcəlləsinə uyğun olaraq, tələb etdiyi digər sənədlərdə və məlumatlarda Azərbaycan Respublikasının gömrük sərhədindən keçirilən malları və nəqliyyat vasitələrini gömrük ödənişlərindən, habelə qanunvericiliklə müəyyənləşdirilmiş qadağan və məhdudiyyətlərdən azad etməyə, yaxud gömrük ödənişlərinin məbləğini azaltmağa əsas verən, malların və nəqliyyat vasitələrinin gömrük proseduru, miqdarı, sayı, gömrük dəyəri, mənşə ölkəsi barədə və ya digər düzgün olmayan məlumatların göstərilməsinə görə, bu az miqdarda olduqda inzibati xətanın bilavasitə obyekti olan mallar və nəqliyyat vasitələrinin dəyərinin otuz faizindən yüz faizinədək məbləğdə cərimə edilir. Mallar və nəqliyyat vasitələri Azərbaycan Respublikasının gömrük sərhədindən keçirilərkən onların tələb olunan xüsusi gömrük proseduru altında yerləşdirilməsi ilə əlaqədar gömrük ödənişlərinin (borcunun) məbləği haqqında müvafiq icra hakimiyyəti orqanının (Dövlət Gömrük Komitəsi) qərarının qəbul edilməsinə təsir etməyən düzgün olmayan məlumatların verilməsinə görə fiziki şəxslər üç yüz manat məbləğində, vəzifəli şəxslər altı yüz manat məbləğində, hüquqi şəxslər min manat məbləğində cərimə edilir. Qeyd: Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 482.1 və 482.2-ci maddələrində “az miqdarda olduqda” dedikdə, əlli min manatadək olan məbləğ başa düşülürolan məbləğ başa düşülür."
Hüquqpozmalar,Gömrük rəsmiləşdirilməsi qaydasının pozulmasına görə qanunvericilikdə hansı inzibati tənbeh növlərinin tətbiqi nəzərdə tutulmuşdur?,"Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 490-cı maddəsinə müvafiq olaraq gömrük rəsmiləşdirilməsi qaydasının pozulmasına, yəni gömrük rəsmiləşdirilməsinin başlanması və başa çatması, onun keçirilmə yeri, vaxtı və üsulu barədə müəyyən olunmuş tələblərə riayət edilməməsinə və ya gömrük rəsmiləşdirilməsinin sadələşdirilmiş qaydasının tətbiqi şərtlərinə əməl edilməməsinə görə fiziki şəxslərə xəbərdarlıq edilir və ya onlar iyirmi manatdan əlli manatadək məbləğdə cərimə edilir, vəzifəli şəxslərə xəbərdarlıq edilir və ya onlar yetmiş beş manatdan yüz əlli manatadək məbləğdə cərimə edilir, hüquqi şəxslər iki yüz əlli manatdan beş yüz manatadək məbləğdə cərimə edilir."
Hüquqpozmalar,Gömrük bəyannaməsinin və müvafiq sənədlərin təqdim edilməsi müddətinin pozulması halında inzibati cərimə miqdarı nə qədərdir?,"Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 493-cü maddəsinə müvafiq olaraq gömrük bəyannaməsinin və onunla birgə təqdim edilməli olan sənədlərin Azərbaycan Respublikasının Gömrük Məcəlləsində müəyyən edilmiş müddətdə müvafiq icra hakimiyyəti orqanına yəni Dövlət Gömrük Komitəsinə təqdim edilməməsinə görə fiziki şəxslər əlli manat məbləğində, vəzifəli şəxslər yüz əlli manat məbləğində, hüquqi şəxslər üç yüz manat məbləğində cərimə edilir."
Hüquqpozmalar,Az miqdarda gömrük ödənişlərinin (borcunun) ödənilməsindən yayınma halında inzibati cərimə miqdarı nə qədərdir?,"Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 505-ci maddəsinə müvafiq olaraq gömrük ödənişlərini (borcunu) ödəməkdən yayınmağa görə, bu az miqdarda olduqda, ödənilməli olan gömrük ödənişlərinin məbləğinin yetmiş faizindən yüz əlli faizinədək məbləğdə cərimə edilir. Qeyd: 1. Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 505-ci maddəsində “az miqdarda olduqda” dedikdə, iyirmi min manatdan yuxarı olmayan məbləğ başa düşülür. 2. Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 505-ci maddəsində nəzərdə tutulmuş əməli ilk dəfə törətmiş şəxs inzibati xəta nəticəsində vurulmuş ziyanı tamamilə ödədikdə inzibati məsuliyyətdən azad olunur."
Hüquqpozmalar,Xeyli və külli miqdarda xarici valyuta vəsaitlərini xaricdən qaytarmamaya görə qanunvericilikdə hansı cəza növlərinin tətbiqi nəzərdə tutulmuşdur ?,"Azərbaycan Respublikası Cinayət Məcəlləsinin 208-ci maddəsinə müvafiq olaraq təşkilat rəhbərləri tərəfindən xarici iqtisadi fəaliyyətin həyata keçirilməsi nəticəsində əldə edilmiş və Azərbaycan Respublikasının qanunvericiliyinə müvafiq olaraq, Azərbaycan Respublikasının müvəkkil edilmiş bankının hesabına məcburi qaydada köçürülməli olan xeyli miqdarda xarici valyuta vəsaitlərini xaricdən qaytarmama üç ilədək müddətə azadlığın məhdudlaşdırılması və ya üç ilədək müddətə azadlıqdan məhrum etmə ilə cəzalandırılır. Eyni əməllər: - külli miqdarda törədildikdə; - qabaqcadan əlbir olan bir qrup şəxs tərəfindən törədildikdə üç ildən beş ilədək müddətə azadlıqdan məhrum etmə ilə cəzalandırılır. Qeyd: Bu maddədə «xeyli miqdar» dedikdə, qaytarılmamış xarici valyuta vəsaitlərinin iyirmi min manatdan yuxarı, lakin otuz min manatdan artıq olmayan məbləği, “külli miqdar” dedikdə otuz min manatdan artıq olan məbləği başa düşülür."
Hüquqpozmalar,"Gömrük brokeri (gömrük təmsilçisi), səlahiyyətli iqtisadi operator və ya gömrük daşıyıcısı kimi qanunsuz fəaliyyət göstərilməsi, yaxud bu cür fəaliyyət qaydalarının və şərtlərinin pozulması halında inzibati cərimə miqdarı nə qədərdir?","Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 509-cu maddəsinə müvafiq olaraq: Azərbaycan Respublikası gömrük qanunvericiliyinin tələbləri pozulmaqla gömrük brokeri (gömrük təmsilçisi), səlahiyyətli iqtisadi operator və ya gömrük daşıyıcısı kimi qanunsuz fəaliyyət göstərilməsinə görə - beş yüz manatdan min manatadək məbləğdə cərimə edilir. Gömrük brokerinin (gömrük təmsilçisinin), səlahiyyətli iqtisadi operatorun və ya gömrük daşıyıcısının qanunla mühafizə edilən sirlərdən və ya məlumatlardan öz məqsədləri üçün istifadə etmələrinə və ya qanunla nəzərdə tutulan hallar istisna olmaqla, üçüncü şəxslərə bu cür məlumatlar verməsinə, yaxud gömrük brokeri (təmsilçisi) kimi fəaliyyət göstərilməsinin gömrük qanunvericiliyi ilə müəyyən edilmiş digər qaydalarının və şərtlərinin pozulmasına görə - vəzifəli şəxslər üç yüz manatdan beş yüz manatadək məbləğdə, hüquqi şəxslər min manatdan min beş yüz manatadək məbləğdə cərimə edilir."
Bəyannamə,Gömrük ödənişləri gömrük bəyannaməsinin neçənci qrafasında göstərilir?,Dövlət Gömrük Komitəsinin 31 oktyabr 2014-cü il tarixli 100/143 saylı “Gömrük bəyannamələrinin doldurulması qaydalarının metodikalarının və metodiki tövsiyyələrinin təsdiqi haqqında” sərəncamına əsasən gömrük ödənişləri gömrük bəyannaməsinin 47-ci və B qrafalarında yer alır.
Bəyannamə,Gömrük bəyannamələrinin doldurulma qaydaları hansı metodika ilə tənzimlənir?,Gömrük bəyannamələrinin doldurulma qaydaları “Gömrük bəyannamələrinin doldurulması qaydalarının metodikalarının və metodiki tövsiyyələrinin təsdiqi haqqında” Dövlət Gömrük Komitəsinin 31 oktyabr 2014-cü il tarixli 100/143 saylı sərəncamının müddəaları ilə tənzimlənir.
Bəyannamə,Gömrük bəyannaməsinin 47-ci qrafasında yer alan kodların açıqlaması harada qeyd olunmuşdur?,"Dövlət Gömrük Komitəsinin 31 oktyabr 2014-cü il tarixli 100/143 saylı “Gömrük bəyannamələrinin doldurulması qaydalarının metodikalarının və metodiki tövsiyyələrinin təsdiqi haqqında” sərəncamına əsasən gömrük bəyannaməsinin 47-ci qrafasındakı kodların açıqlaması, metodikanın 8 və 10 saylı əlavələrində qeyd olunmuşdur."
Bəyannamə,"Malların və nəqliyyat vasitələrinin invoys dəyəri, gömrük dəyəri və statistik dəyəri gömrük bəyannaməsinin hansı qrafalarında yer alır?","Dövlət Gömrük Komitəsinin 31 oktyabr 2014-cü il tarixli 100/143 saylı “Gömrük bəyannamələrinin doldurulması qaydalarının metodikalarının və metodiki tövsiyyələrinin təsdiqi haqqında” sərəncamına əsasən rəsmiləşdirilən hər bir mal və nəqliyyat vasitələrinin invoys dəyəri gömrük bəyannaməsinin 42-ci, gömrük dəyəri 45-ci, statistik dəyəri isə 46-cı qrafasında yer alır. Həmin gömrük bəyannaməsi üzrə rəsmiləşdirilən malların ümumi gömrük və invoys dəyərləri isə müvafiq olaraq 12-ci və 22-ci qrafalarda əks etdirilir."
Bəyannamə,Gömrük orqanlarına təqdim olunmuş gömrük bəyannaməsində hansı halda düzəlişlər edilməsinə və ya onun geri götürülməsinə icazə verilmir?,"“Gömrük sərhədindən keçirilən malların və nəqliyyat vasitələrinin bəyan edilməsi qaydaları”nın təsdiq edilməsi barədə Azərbaycan Respublikası Nazirlər Kabinetinin 22 iyul 2014-cü tarixli 263 nömrəli Qərarının 14.2-ci bəndinə əsasən təqdim olunmuş gömrük bəyannaməsində aşağıdakı hallarda düzəlişlər edilməsinə və ya onun geri götürülməsinə icazə verilmir: - gömrük orqanları bəyannaməçiyə malları yoxlamaq niyyətində olduğunu bildirdikdən sonra; - gömrük orqanları gömrük bəyannaməsindəki məlumatların düzgün olmadığını müəyyənləşdirdikdən sonra; - qeyd olunan Qaydaların 14.3-cü bəndində göstərilən hallar istisna olmaqla, gömrük orqanları tərəfindən malların buraxılışı həyata keçirildikdən sonra. Qaydaların 14.3-cü bəndinə əsasən aşağıdakı hallarda gömrük orqanları tərəfindən malların buraxılışı həyata keçirildikdən sonra gömrük bəyannaməsində düzəlişlər edilməsinə və ya onun geri götürülməsinə icazə verilir: - gömrük ödənişləri üzrə güzəştlər verilərək şərti buraxılmış mallardan başqa məqsədlər üçün istifadə olunduqda; - malların buraxılışının həyata keçirilməsinə baxmayaraq, onlar gömrük nəzarəti zonasını tərk etmədikdə."
Bəyannamə,Bəyannaməçinin müraciəti əsasında hansı hallarda gömrük orqanları təsdiq olunmuş gömrük bəyannaməsini ləğv edirlər?,"“Gömrük sərhədindən keçirilən malların və nəqliyyat vasitələrinin bəyan edilməsi qaydaları”nın təsdiq edilməsi barədə Azərbaycan Respublikası Nazirlər Kabinetinin 22 iyul 2014-cü tarixli 263 nömrəli Qərarının 14.7-ci bəndinə əsasən gömrük orqanları təsdiq olunmuş gömrük bəyannaməsini bəyannaməçinin müraciəti əsasında aşağıdakı hallarda ləğv edirlər: - mallar dərhal başqa gömrük proseduru altında yerləşdirilməli olduqda; - fors-major halları ilə əlaqədar malların bəyan edildiyi gömrük proseduru altında yerləşdirilməsi mümkün olmadıqda. Qaydaların 14.8-ci bəndinə əsasən gömrük orqanları bəyannaməçiyə malları yoxlamaq niyyətini bildirdikdə, gömrük bəyannaməsinin ləğvi barədə müraciətə yalnız müvafiq yoxlama aparıldıqdan sonra baxılır. Qaydaların 14.9-cu bəndinə əsasən aşağıda göstərilən hallar istisna olmaqla, gömrük bəyannaməsi malların buraxılışından sonra ləğv edilə bilməz: - gömrük auditi gömrük orqanları tərəfindən malların və nəqliyyat vasitələrinin buraxılışından, o cümlədən şərti buraxılışından sonra gömrük bəyannaməsində göstərilən məlumatların düzgün olmadığını müəyyən etdikdə; - gömrük auditi şəxsin mallar və nəqliyyat vasitələri barədə sərəncam verilməsinə dair məhdudiyyətlərə, tələblərə və şərtlərə riayət etmədiyini müəyyən etdikdə."
